Descrizione,Listino 4 (ivato),Produttore,Cod. Fornitore,Categoria,Internet,Note,images
MANICOTTO ANTITAGLIO PLUS,"51,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/manicotto-antitaglio,,
,,,,,,,
Descrizione,Listino 4 (ivato),Produttore,Cod. Fornitore,Categoria,Internet,Note,images
280TCS,"439,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-potatura/280tcs,"Cilindrata (cc)26.9
Potenza (Kw/CV)1.04/1.4
Peso a secco*1 (Kg)3
Capacità serbatoio MIX (ml)240
Capacità serbatoio olio (ml)160
Passo catena (pollici)¼
Maglie catena60
Lunghezza barra applicabile* (pollici)10
Canale Barra (mm/pollici)1.3/0.050",
362TS-35,"469,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-potatura/362ts-35,"Cilindrata (cc)35.8
Potenza (Kw/CV)1.5/2.04
Peso a secco*1 (Kg)3.6
Capacità serbatoio MIX (ml)330
Capacità serbatoio olio (ml)240
Passo catena (pollici)3/8 b.p.
Maglie catena53
Lunghezza barra applicabile* (pollici)14
Canale Barra (mm/pollici)1.3/0.050",
EBS256S,"403,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/soffiatori/soffiatori-aspiratori/ebs256s,"Cilindrata (cc)25,4
Potenza(kw/CV)0,8/1,1
Volume aria max*2 (m3/h)600
Velocità aria max*2 (m/sec)84,9
Peso a secco*1 (Kg.)4.4
Capacità serbatoio MIX (ml)470",
,,,,,,,
,,,,,,,
280TS,"383,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-potatura/280ts,"Cilindrata (cc)26.9
Potenza (Kw/CV)1.04/1.4
Peso a secco*1 (Kg)3
Capacità serbatoio MIX (ml)240
Capacità serbatoio olio (ml)160
Passo catena (pollici)3/8 b.p.
Maglie catena40
Lunghezza barra applicabile* (pollici)10
Canale Barra (mm/pollici)1.3/0.050",
,,,,,,,
501SX,"821,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-multifunzione/501sx,"Cilindrata (cc)50.2
Potenza (Kw/CV)2.57/3.50
Peso a secco*1 (Kg)4.7
Capacità serbatoio MIX (ml)500
Capacità serbatoio olio (ml)280
Passo catena (pollici)0.325
Maglie catena72
Lunghezza barra applicabile* (pollici)18
Canale Barra (mm/pollici)1.5/0.058",
,,,,,,,
601SX,"1045,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-forestali/601sx,"Cilindrata (cc)59.8
Potenza (Kw/CV)3.32/4.4
Peso a secco*1 (Kg)6.3
Capacità serbatoio MIX (ml)650
Capacità serbatoio olio (ml)300
Passo catena (pollici)3/8
Maglie catena72
Lunghezza barra applicabile* (pollici)20
Canale Barra (mm/pollici)1.5/0.058",
451S,"565,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-multifunzione/451s,"Cilindrata (cc)45
Potenza (Kw/CV)2.3/3.1
Capacità serbatoio mix (ml)480
Capacità serbatoio olio (ml)330
Peso a secco*1 (Kg)5.0
Passo catena 0.325
Canale (mm/pollici)1.5/0.058
Maglie64
Lunghezza barra applicata* (pollici)15",
731SX,"1321,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/motoseghe/motoseghe-forestali/731sx,"Cilindrata (cc)73.5
Potenza (Kw/CV)4.1/5.6
Peso a secco (Kg)6,8
Capacità serbatoio MIX (ml)800
Capacità serbatoio olio (ml)360
Passo catena (pollici)3/8""
Lunghezza barra applicabile (pollici)24""
Canale Barra (mm/pollici)1.5/0.058",
,,,,,,,
,,,,,,,
DH185ST,"675,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/tosasiepi/tosasiepi-a-doppia-lama/dh185st,"Cilindrata (cc)21,2
Potenza (kw/CV)0,6/0,82
Peso a secco (Kg.)5,3
Capacità serbatoio MIX (ml)390
Velocità di taglio (tagli/min)3600
Lunghezza lama (mm)744
Tipo lamarinforzata, movimento reciproco, taglio doppio",
,,,,,,,
,,,,,,,
ATTACCO SPAZZOLATRICE,"518,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-spazzolatrice,,
DH165ST,"655,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/tosasiepi/tosasiepi-a-doppia-lama/dh165st,"Cilindrata (cc)21,2
Potenza (kw/CV)0,6/0,82
Peso a secco (Kg.)5,1
Velocità di taglio (tagli/min)3600
Capacità serbatoio MIX (ml)390
Lunghezza lama (mm)639
Tipo lamarinforzata, movimento reciproco, taglio doppio",
HT320S,"722,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/tosasiepi/tosasiepi-a-lama-singola/ht320s,"Cilindrata (cc)21.2
Potenza (kw/CV)0.6/0.82
Peso a secco (Kg.)4.8
Capacità serbatoio MIX (ml)390
Lunghezza lama (mm)729
Tipo lamarinforzata, movimento reciproco, taglio singolo
Velocità di taglio (tagli/min)4700",
,,,,,,,
ATTACCO TAGLIABORDI,"202,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-tagliabordi,,
,,,,,,,
,,,,,,,
ATTACCO ZAPPETTA,"374,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-zappetta,,
,,,,,,,
,,,,,,,
Filo Nylon Armor Line Quadrato,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/filo-in-nylon/filo-nylon-armor-line-quadrato,,
B510S,"1040,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/decespugliatori/decespugliatori-standard/b510s,"Cilindrata (cc)50.2
Potenza (kw/CV)2,16/2,94
Capacità serbatoio MIX (ml)690
Peso a secco*1 (Kg.)9",
Filo Nylon Armor Line Silent,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/filo-in-nylon/filo-nylon-armor-line-silent,,
,,,,,,,
,,,,,,,
,,,,,,,
Filo Nylon Armor Line Tondo,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/filo-in-nylon/filo-nylon-armor-line-tondo,,
Disco a 40 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-40-denti,,
Disco a 80 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-80-denti,,
,,,,,,,
Testine Speed Feed,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/testine-a-filo/skasf400-s,"CodiceSKASF400-S
Diametro4""
Capacità⦰ 2,5 x 6 m
Compatibilità20∼30 cc",
,,,,,,,
,,,,,,,
Disco a 3 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-3-denti,,
Disco a 4 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-4-denti,,
,,,,,,,
Disco a 8 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-8-denti,,
Disco a 2 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-2-denti,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
BATTI E VAI W5,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/testine-a-filo/skaw5-10125bl,"CodiceSKAW5-10125BL
Diametro5 -1/2""
Capacità⦰ 2,4 x 7 m
Compatibilità30∼45 cc",
Disco Protettivo,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/testine-a-filo/disco-protettivo,"CodiceSKA1078
DescrizionePer testine da 4"", 5"" e 6""",
BATTI E VAI Z5,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/testine-a-filo/skaz5-10125nl,"CodiceSKAZ5-10125NL
Diametro5""
Capacità ⦰ 2,4 x 7 m
Compatibilità25∼40 cc",
BATTI E VAI W4,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/testine-a-filo/skaw4-unvfn,"CodiceSKAW4-UNVFN - SKAW4-10125NL
Diametro4""
Capacità⦰ 2,4 x 4 m
Compatibilità20∼30 cc",
,,,,,,,
,,,,,,,
,,,,,,,
